"term","estimate","std.error","zvalue","p.value"
"(Intercept)",-0.361417356543035,0.337781916310022,-1.06997248547587,0.284631693728229
"sexM",-0.762902385986646,0.366542196500333,-2.08134941425756,0.0374019352639266
"seasonmating",0.0730490019472037,0.340144697121004,0.214758608808231,0.829955525274712
"seasonlactation",0.817858533887583,0.357612511077946,2.28699642364951,0.0221960318422119
"seasonnon-breeding",1.01023978973493,0.409667390429591,2.46600001204771,0.013663132964292
"year_typemast",0.144993710942485,0.117554815466351,1.23341362382546,0.217421484646417
"year_typepost-mast",0.645487437590033,0.10861057713226,5.94313606126956,2.79620149640738e-09
"sexM:seasonmating",0.875659380378841,0.368058240017194,2.379132662097,0.0173534293774342
"sexM:seasonlactation",0.39713717078681,0.389668793851609,1.01916596107525,0.308124183556901
"sexM:seasonnon-breeding",-0.598276093647415,0.454090377197236,-1.31752647422333,0.187662212979088
